inchikey,partition,fold,representation,algorithm,label,y_true,y_pred
ANPQBLBZMKRGJT-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.0,7.723629333333347
ANROYDNBUBEGHC-MQMHXKEQSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.44,8.176319999999977
ANSVBJGYIJAUDS-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,5.8,5.637879999999991
ANVHGHPKRCRGRV-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.48,7.71279533333331
AOHQOEYOFNJJNZ-XLIONFOSSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.4,7.433868999999995
AOZCJXPKMNJCQR-GGYDESQDSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.53,7.638405000000016
APBUNKVHHWMAAH-CHWSQXEVSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.99,6.238519999999993
APCBJCFILSRMRW-NQPRBDNZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,4.69,5.370610000000015
APHAPQUZFADCCT-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.6,5.878706666666674
APLQHKFABMHWHP-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.29,5.93432416666668
AQIGJCZBZXSONM-UHFFFAOYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.1,6.136630000000007
ARPWNFCYSNNAPW-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.13,7.613373571428534
ASHUQWDHMIZJFH-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.54,6.065440000000008
ASRRTOJJNKDPOE-XLIONFOSSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.85,7.450308000000012
ATLHEWQHWGSHBX-AULYBMBSSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.734999999999999,7.259807214285709
AUHAKZCDXJXNIS-WCQYABFASA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.31,7.70455999999999
AUNMQOCPGMEAST-ZFWWWQNUSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,8.7,8.372843999999981
AUVVPNQJMBEMDI-FOLVSLTJSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.37,7.198623333333338
AVGRXCGZLZSSPC-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.33,7.21529999999999
AVISJIJTLXTWET-LBPRGKRZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.7,8.06197000000004
AVMFNJJDFFARPS-IBGZPJMESA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.81,6.695033333333343
AVMYOZBHUDFCJI-AEFFLSMTSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.92,7.3889960000000094
AVZYAMPJJDVPDJ-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.15,5.5555016666666726
AWDCUIDEVZIBKR-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.1,6.07162957142856
AWJBWNUUODWOKQ-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.29,6.869170000000018
AXFDPUXDIHEOAI-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.91,6.868742666666687
AXIFMPBHMMMIKY-AULYBMBSSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.11,7.6502303571428625
AXPFEEJMCXUHQD-JTQLQIEISA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.25,6.173510000000031
AXRMPMIEMCXOTJ-VQFNDLOPSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.125,7.236701833333333
AXVJKWISWYSMEO-MOPGFXCFSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.54,7.456066000000024
AXVJKWISWYSMEO-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.02,7.456066000000024
AXVWPJGJCGMVLQ-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.66,6.709898000000012
AYPZAZPOYROADP-ZHACJKMWSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.77,5.190382500000009
AZGCRXQGLDQGTA-KNQAVFIVSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.51,7.392304999999999
AZMMWBUQIXBLDU-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.51,6.56962
AZZRAZUXGHJAOV-WCQYABFASA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.949999999999999,8.063430000000007
BAHAKPRBUNPURW-CMPLNLGQSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,5.8,7.21254
BANGFDNCERQQIE-CHWSQXEVSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.5,6.803376666666646
BAORHIGPTKNHRW-HBFSDRIKSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.275,7.082516333333329
BAORHIGPTKNHRW-NLWGTHIKSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.949999999999999,7.082516333333329
BAYFMGSXOKNAJZ-VXGBXAGGSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.7,6.30131999999999
BBCFRTHODCIVDP-VLIAUNLRSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.984999999999999,6.942600000000017
BBCFRTHODCIVDP-XOBRGWDASA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.095,6.942600000000017
BBFDPQFELBFLCW-GXTWGEPZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.949999999999999,7.816220000000002
BCKUYDODOWTDPH-XLIONFOSSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.73,7.036061333333331
BCXNWQDMUUSORS-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.3,6.827049999999997
BDMMXSHQKHUFKQ-GOSISDBHSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.0,6.608695833333324
BDMMXSHQKHUFKQ-SFHVURJKSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.82,6.608695833333324
BELXXIWFEWPMCV-UOIKSKOESA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.31,7.644596666666658
BGJCZTPFRKSUHS-CMPLNLGQSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.545,7.696568333333344
BGQSZBPWPOXQTF-AWEZNQCLSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.09,5.546766000000002
BGQSZBPWPOXQTF-CQSZACIVSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.11,5.546766000000002
BGQSZBPWPOXQTF-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.75,5.546766000000002
BGXHQWBKFTYLMO-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.88,6.899580000000001
BHLICBDDYVMRMM-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.17,6.527484999999993
BITJIBOQHOBSEQ-PMACEKPBSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.57,7.705795333333346
BIUMIQOEJSJTAM-QFIPXVFZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.51,7.419654999999973
BIWXFLAZRBTWMI-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.62,6.709844999999997
BJGBIUYKSAKORC-FHERZECASA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.16,8.311268333333317
BJNUBTRKMKILLA-DEOSSOPVSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.07,6.850774000000005
BJZUYRRKPINCLY-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.03,6.278809999999976
BKBDSVDSSWOBTQ-GXTWGEPZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.435,7.401459999999989
BKDSPECIAKYFPT-XJKSGUPXSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.935,7.668806666666653
BKTFMVDMGYGHGU-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.28,6.94809154761905
BLKRXSROXNOPPY-GGYDESQDSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.75,7.765148333333349
BMJPYMNIGZKPLS-LBPRGKRZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.82,7.887076666666669
BMPXPBSETVIDSP-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.66,5.803383857142858
BOBRNSMQJNURJX-JEYLPNPQSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.7,8.615310000000001
BOBUEKYDHRZMRK-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.68,5.5806136666666735
BONDEBJDVZGSIK-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.58,7.129319333333327
BOXFETBEAMXCQH-DZGCQCFKSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.6,7.628749999999989
BPCZABOCGVZEBN-ZDUSSCGKSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.89,8.097440000000017
BPKDWFGRTCABEJ-FQEVSTJZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.82,6.675085
BPKDWFGRTCABEJ-HXUWFJFHSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,5.88,6.675085
BPKDWFGRTCABEJ-UHFFFAOYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.71,6.675085
BPLFISJMISZSMT-GXTWGEPZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.265000000000001,7.601159999999994
BPSURRHXFTVNPC-AWEZNQCLSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.52,8.60004999999999
BPWDLGXLIXBTPG-GXTWGEPZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.015,8.160979999999983
BRBMIYHOFADQNK-RYRKJORJSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.404999999999999,7.311536500000012
BRNFYDHNQCOLDA-DEOSSOPVSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.36,7.464850000000012
BSJPLCMGLSAERZ-APWZRJJASA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.39,7.400360666666648
BSXZECKVHWDHMU-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.79,6.87458133333332
BTGRJSKXOVCJGC-VIZZQPHQSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.75,7.118370000000015
BTNUNVLIPAOCMM-LAQFHYBYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.654999999999999,7.333515000000014
BUIYVEPGAGPGLB-CTYIDZIISA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.09,7.180160000000002
BUMGTYYOOSBBHW-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.2,5.904578333333346
BUQGXZUGSBDOIZ-QFIPXVFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.14,7.375125666666662
BUYFCKGCSXZWDP-MNZLEMJZSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.41,7.334658333333333
BUZFDVGJMBLEGQ-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.12,6.602109999999984
BVMBHIKCHPFTIX-HDJSIYSDSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.78,7.108609999999995
BWJKJXASLSRQNM-HDJSIYSDSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.31,7.499709166666712
BWTWYFLHUIVVNP-WMLDXEAASA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,8.155000000000001,8.068410000000036
BXAPLRVODFEIFT-AWEZNQCLSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.8,7.688067499999983
BXVDTIPLGIPGFG-WCQYABFASA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.07,7.648709999999985
BXWRYHWVMJYQDS-ZDUSSCGKSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.96,7.736724666666639
BZFAADKUMJMAMD-QFIPXVFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.8,7.212766666666654
BZTMKWCWKFEAKS-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.58,7.201149999999998
CANXPAGDHYDXAS-IYARVYRRSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.75,7.254494999999979
CAURCPOFUZVLHO-FRQCXROJSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.695,7.3125862380952285
CBEQYPJASLPYCV-SVIJTADQSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.95,7.648173333333334
CBSZTXHMDYXAMD-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.01,6.135664928571438
CBZINAVQQWCRAE-ZDUSSCGKSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.82,7.473058333333324
CCDZVVJMCCIMJK-NRFANRHFSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.34,7.19628399999999
CCKDABRNCXXPNF-VXGBXAGGSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.37,6.183857142857128
CCUITVGIDVPEJI-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.78,8.122910000000038
CCUWLJJJTXPUCI-HIFPTAJRSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.02,7.338650000000001
CDIBRYDRWDNHKR-OFNKIYASSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.3,7.358501999999999
CDLPZSXOJZPUNZ-JOCHJYFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.06,6.953756666666684
CEDDKVSCQBMJRG-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.23,7.322526000000014
CEHXVBLLORENHV-LAQFHYBYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.6,7.543014000000001
CENSBZQZRLLDCL-JOCQHMNTSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,6.85,7.275410999999995
CEOUAXRSPKQSPT-LBPRGKRZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.4,8.289339999999974
CERUYKDYVULSDG-SJORKVTESA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.38,7.4677845
CERUYKDYVULSDG-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.88,7.4677845
CGKGVIMZSQQQKI-MNZLEMJZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.065,6.918609833333321
CHJNLJDLILUZCU-WMLDXEAASA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.445,8.073550000000042
CHTXUMBCIKLCKW-GXTWGEPZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.09,8.097426666666681
CIACKZWBHIJWSD-UHFFFAOYSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.21,7.294039999999986
CIKWLRYNURTNGX-AWEZNQCLSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.1,8.338124999999978
CISHPMUQLTYQDL-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.47,6.291901666666662
CIYDGMDZVSRZAF-RRFJBIMHSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.36,7.499826428571439
CJIFGBJDSODVOU-JTQLQIEISA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,9.0,8.257109999999994
CKQMTXLABQTGQB-DHZHZOJOSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,4.91,5.160791166666683
CLALAOKNVZYDNB-HALDLXJZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.9,7.15385333333333
CLCRTUFFZNMHLS-LBPRGKRZSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.6,7.673310000000027
CLDTYDWCLGHBRJ-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.92,6.502590000000018
CLZKMFVTJPNWFB-VQFNDLOPSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.02,7.276821666666692
CMKRUJONJACVHU-JOCHJYFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.55,7.012110000000016
CMMHGQMDAWNUJF-NNUKFRKNSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.74,7.325597500000025
CMPQQCSDOGJLLR-JOCHJYFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.54,6.938456666666685
CMQWFYBXZLEOMA-FQEVSTJZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.42,7.132305
CNBMUGGIAWLNKG-SHTZXODSSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.2,7.936609999999991
CNMIUCDUEVFNKU-QHCPKHFHSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.38,7.306321666666658
CNXACZHZGCZDBO-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.31,7.119716666666662
CNYDIRYGXDXINR-GCJKJVERSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.96,7.698228333333334
COEDYLGJVZYSIH-JTQLQIEISA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.66,8.166249999999973
COUSNIYNXWRIMA-WQGACYEGSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,8.265,7.516229916666664
COWHGJLKSFLNRB-QLPKVWCKSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.725,7.194013333333332
COWJGGFKTKTZOT-XJKSGUPXSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.945,8.108879999999989
CPOOXCQPULFHNM-YABSGUDNSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.245,7.258322666666662
CPVYDKXZLWVTEE-GXFFZTMASA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.715,8.15869000000001
CQGSBWGNKKNJCP-RYRKJORJSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.92,7.380161999999993
CQQRVWPXVJWBRU-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.68,6.683769999999997
CRANEYHZXMLJBS-SWLSCSKDSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,8.32,7.291260000000019
CRMCPZOEWQJMFS-LBPRGKRZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.72,7.163943666666682
CRVXZKHWEUVJFA-ZDUSSCGKSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.68,7.819329999999978
CSKJIIXTWHNKSV-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.7,6.010729999999999
CSUMASYLFZPZKR-VFNWGFHPSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.43,7.013500333333317
CSWZSXQZBCOVSJ-FQEVSTJZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,8.7,7.4365245000000195
CTVDAKKIBPDSKS-HNNXBMFYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,9.0,8.651750000000016
CUODMWHGYJSPRF-XJKSGUPXSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.029999999999999,7.527379999999971
CUXROWBZAXBRIM-UHFFFAOYSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.0,5.690622333333341
CVQHMRPOOCQEKI-OOHWJJMZSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,9.0,8.670209999999944
CWCODCHAQNOYLW-QFIPXVFZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,6.62,7.049856666666666
CXKWWEBSUNFLIN-UTKZUKDTSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,6.5,6.902551404761911
CXQKCYMIGNQZOZ-UHFFFAOYSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.58,7.444159999999977
CYNMROYWBACHTQ-XLIONFOSSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,6.92,7.481077000000001
CYQZMMUPORHDSC-MRXNPFEDSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.64,6.3504143333333465
CYWFSLKYTRCPPA-MQMHXKEQSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.75,7.688590000000005
CZLHDEMBLZTFGA-UMYLGFLZSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,5.88,5.780939666666657
CZSWXNBPJXPCFZ-GGYDESQDSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,7.39,7.688440000000046
CZWUSKMGGLHRBH-AWEZNQCLSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.3,8.308199999999996
DBXCRZFXGYPTQJ-WCQYABFASA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.734999999999999,7.846719999999978
DBZDCJRBMOZLQI-FUHWJXTLSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,7.2,6.160175000000019
DCHZOOHTNLONBI-CMPLNLGQSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.235,8.063790000000001
DCIRNJZMAVZAQG-OOHWJJMZSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.15,8.400650000000011
DCVSFXIYOAFCQQ-ZHRRBRCNSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,8.05,7.153002333333328
DDBRUPZDWAODIC-AEFFLSMTSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,6.68,7.521526666666673
DDCBCYZFOVRVBY-UHFFFAOYSA-N,0,4,Morgan-2048,RF,RF + Morgan-2048,8.84,7.904645000000004
DEEKSQRKTYEQAN-QWHZDKJVSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,7.845000000000001,7.603503333333329
DEGUDXJXTJSIFF-GOSISDBHSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.15,6.83830666666665
DEGUDXJXTJSIFF-SFHVURJKSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,5.77,6.83830666666665
DEMKZLAVQYISIA-ZRWXNEIDSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,4.79,5.845948666666664
DEOVWIPKRDTVPC-GTPINHCMSA-N,0,0,Morgan-2048,RF,RF + Morgan-2048,8.15,8.201420000000034
DEQOZQHMWLHJLS-UWVAXJGDSA-N,0,3,Morgan-2048,RF,RF + Morgan-2048,7.37,6.996779166666679
DFRRLTYRSAJCPA-UHFFFAOYSA-N,0,1,Morgan-2048,RF,RF + Morgan-2048,5.95,6.120930000000008
DGUJPXZEBMKLMM-LBPRGKRZSA-N,0,2,Morgan-2048,RF,RF + Morgan-2048,7.58,7.793199999999991
