inchikey,scaffold,partition,fold
ANNUHVXNCFVLIP-GXTWGEPZSA-N,O=c1c2cncn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,1
ANPQBLBZMKRGJT-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,4
ANROYDNBUBEGHC-MQMHXKEQSA-N,O=c1c2cnoc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,3
ANSVBJGYIJAUDS-UHFFFAOYSA-N,O=C(Cn1ccc2[nH]c(=O)[nH]c(=O)c21)Nc1ccccc1,0,3
ANVHGHPKRCRGRV-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2ccccc2)n1,0,4
AOHQOEYOFNJJNZ-XLIONFOSSA-N,O=C(NCc1cccc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,1
AOZCJXPKMNJCQR-GGYDESQDSA-N,O=c1c2cccnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,1
APBUNKVHHWMAAH-CHWSQXEVSA-N,c1ccc(NC2CCCCC2)cc1,0,4
APCBJCFILSRMRW-NQPRBDNZSA-N,c1ccccc1,0,1
APHAPQUZFADCCT-UHFFFAOYSA-N,c1ccc(Oc2ncnc3[nH]ccc23)cc1,0,3
APLQHKFABMHWHP-UHFFFAOYSA-N,O=C(NCSc1ccccc1)c1ccccc1,0,0
AQIGJCZBZXSONM-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccs1,0,3
ARPWNFCYSNNAPW-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1cccc(-c2cncnc2)n1,0,1
ASHUQWDHMIZJFH-UHFFFAOYSA-N,O=C(Nc1cccc(NCc2ccccc2)c1)c1cccs1,0,1
ASRRTOJJNKDPOE-XLIONFOSSA-N,O=C(NCc1cccc(-c2cnccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
ATLHEWQHWGSHBX-AULYBMBSSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(Cc3ccccc3)C2)no1,0,0
AUHAKZCDXJXNIS-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
AUNMQOCPGMEAST-ZFWWWQNUSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CCCC3)nc2)n1,0,4
AUVVPNQJMBEMDI-FOLVSLTJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
AVGRXCGZLZSSPC-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccc(C3CCCCC3)cc2)cs1,0,2
AVISJIJTLXTWET-LBPRGKRZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncon3)c(=O)c21)Nc1ccnc(-c2cccnc2)n1,0,0
AVMFNJJDFFARPS-IBGZPJMESA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
AVMYOZBHUDFCJI-AEFFLSMTSA-N,O=C(NCc1cccc(-c2cncs2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
AVZYAMPJJDVPDJ-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
AWDCUIDEVZIBKR-UHFFFAOYSA-N,O=C(Cn1cnc2ccccc2c1=O)NCCc1ccccc1,0,4
AWJBWNUUODWOKQ-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(CCc2ccccc2)no1,0,1
AXFDPUXDIHEOAI-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(N2CCCCC2)n1,0,3
AXIFMPBHMMMIKY-AULYBMBSSA-N,O=c1c2[nH]nnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,4
AXPFEEJMCXUHQD-JTQLQIEISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cncnc2)n1,0,0
AXRMPMIEMCXOTJ-VQFNDLOPSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(-c5ncco5)c4)CC32)no1,0,2
AXVJKWISWYSMEO-MOPGFXCFSA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1S(=O)(=O)c1ccccc1,0,0
AXVJKWISWYSMEO-UHFFFAOYSA-N,O=C(NCc1cnn(-c2ccccc2)c1)C1CCC1S(=O)(=O)c1ccccc1,0,0
AXVWPJGJCGMVLQ-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nnc(CCc2ccccc2)o1,0,0
AYPZAZPOYROADP-ZHACJKMWSA-N,C(=Cc1ccccc1)c1ccccc1,0,4
AZGCRXQGLDQGTA-KNQAVFIVSA-N,O=C(NCc1cccc(-c2ccccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
AZMMWBUQIXBLDU-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
AZZRAZUXGHJAOV-WCQYABFASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
BAHAKPRBUNPURW-CMPLNLGQSA-N,c1cncc(CC2CCCCC2)c1,0,0
BANGFDNCERQQIE-CHWSQXEVSA-N,O=S(=O)(NC1CCCCC1)c1ccccc1,0,3
BAORHIGPTKNHRW-HBFSDRIKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5ccncc5c4)CC32)no1,0,2
BAORHIGPTKNHRW-NLWGTHIKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5ccncc5c4)CC32)no1,0,2
BAYFMGSXOKNAJZ-VXGBXAGGSA-N,c1ccc(OC2CCCCC2)cc1,0,2
BBCFRTHODCIVDP-VLIAUNLRSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
BBCFRTHODCIVDP-XOBRGWDASA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
BBFDPQFELBFLCW-GXTWGEPZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccc4ncsc4c3)C2)no1,0,4
BCKUYDODOWTDPH-XLIONFOSSA-N,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,3
BCXNWQDMUUSORS-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
BDMMXSHQKHUFKQ-GOSISDBHSA-N,O=C(c1cn2c(=O)n(Cc3ccccc3)c(=O)cc2s1)N1CCC(Oc2ccccc2)C1,0,1
BDMMXSHQKHUFKQ-SFHVURJKSA-N,O=C(c1cn2c(=O)n(Cc3ccccc3)c(=O)cc2s1)N1CCC(Oc2ccccc2)C1,0,1
BELXXIWFEWPMCV-UOIKSKOESA-N,O=c1c2cccnc2cnn1Cc1nc(C2C3CN(c4ccncc4)CC32)no1,0,3
BGJCZTPFRKSUHS-CMPLNLGQSA-N,O=c1c2scnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
BGQSZBPWPOXQTF-AWEZNQCLSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
BGQSZBPWPOXQTF-CQSZACIVSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
BGQSZBPWPOXQTF-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
BGXHQWBKFTYLMO-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
BHLICBDDYVMRMM-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
BITJIBOQHOBSEQ-PMACEKPBSA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
BIUMIQOEJSJTAM-QFIPXVFZSA-N,O=C(NCc1cc(-c2cccnc2)c[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,2
BIWXFLAZRBTWMI-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
BJGBIUYKSAKORC-FHERZECASA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2cnc(N3CC4CC4C3)nc2)n1,0,0
BJNUBTRKMKILLA-DEOSSOPVSA-N,O=C(NCc1c[nH]c(=O)c(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,1
BJZUYRRKPINCLY-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccnc1,0,3
BKBDSVDSSWOBTQ-GXTWGEPZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,2
BKDSPECIAKYFPT-XJKSGUPXSA-N,O=c1c2ccncc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
BKTFMVDMGYGHGU-UHFFFAOYSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1C2CCC(C2)N1S(=O)(=O)c1ccccc1,0,3
BLKRXSROXNOPPY-GGYDESQDSA-N,O=c1c2cccnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,1
BMJPYMNIGZKPLS-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,0,2
BMPXPBSETVIDSP-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
BOBRNSMQJNURJX-JEYLPNPQSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,0,4
BOBUEKYDHRZMRK-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,0,2
BONDEBJDVZGSIK-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(N2CCCCC2)n1,0,3
BOXFETBEAMXCQH-DZGCQCFKSA-N,O=c1c2cncn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,1
BPCZABOCGVZEBN-ZDUSSCGKSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cncc(-c2cccnc2)n1,0,2
BPKDWFGRTCABEJ-FQEVSTJZSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,0,3
BPKDWFGRTCABEJ-HXUWFJFHSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,0,3
BPKDWFGRTCABEJ-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,0,3
BPLFISJMISZSMT-GXTWGEPZSA-N,O=c1[nH]c(=O)c2c(ncn2Cc2nc(C3COC(c4ccccc4)C3)no2)[nH]1,0,0
BPSURRHXFTVNPC-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cncnc2)n1,0,2
BPWDLGXLIXBTPG-GXTWGEPZSA-N,O=c1c2cncn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,1
BRBMIYHOFADQNK-RYRKJORJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
BRNFYDHNQCOLDA-DEOSSOPVSA-N,O=C(NCc1cc(-c2ccccc2)c[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,1
BSJPLCMGLSAERZ-APWZRJJASA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
BSXZECKVHWDHMU-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
BTGRJSKXOVCJGC-VIZZQPHQSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
BTNUNVLIPAOCMM-LAQFHYBYSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccc5ocnc5c4)CC32)no1,0,1
BUIYVEPGAGPGLB-CTYIDZIISA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(Oc3ccccc3)C2)no1,0,2
BUMGTYYOOSBBHW-UHFFFAOYSA-N,c1ccc(Oc2nccc3ccccc23)cc1,0,3
BUQGXZUGSBDOIZ-QFIPXVFZSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
BUYFCKGCSXZWDP-MNZLEMJZSA-N,O=c1c2cccnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,1
BUZFDVGJMBLEGQ-UHFFFAOYSA-N,c1ccc(CC2CCCCC2)cc1,0,2
BVMBHIKCHPFTIX-HDJSIYSDSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,0,0
BWJKJXASLSRQNM-HDJSIYSDSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
BWTWYFLHUIVVNP-WMLDXEAASA-N,O=c1c2cccnc2cnn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
BXAPLRVODFEIFT-AWEZNQCLSA-N,O=C1NCCc2c1sc1ncn(Cc3nnn(CCc4ccccc4)n3)c(=O)c21,0,3
BXVDTIPLGIPGFG-WCQYABFASA-N,O=c1[nH]c2nc[nH]c2c(=O)n1Cc1nc(C2COC(c3ccccc3)C2)no1,0,3
BXWRYHWVMJYQDS-ZDUSSCGKSA-N,O=C1NCCc2c1sc1ncn(Cc3nnn(CCc4ccccc4)n3)c(=O)c21,0,3
BZFAADKUMJMAMD-QFIPXVFZSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
BZTMKWCWKFEAKS-UHFFFAOYSA-N,c1ccc(-c2cc3cn[nH]c3cc2OCC2CC2)cc1,0,2
CANXPAGDHYDXAS-IYARVYRRSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CC(c3ccc4ccccc4c3)C2)c(=O)o1,0,1
CAURCPOFUZVLHO-FRQCXROJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5[nH]ncc5c4)CC32)no1,0,0
CBEQYPJASLPYCV-SVIJTADQSA-N,O=C(NCc1cc(-c2cncnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CBSZTXHMDYXAMD-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccn2)c2ccccc21,0,4
CBZINAVQQWCRAE-ZDUSSCGKSA-N,O=c1c2ccsc2ncn1Cc1nc(CCc2ccccc2)no1,0,2
CCDZVVJMCCIMJK-NRFANRHFSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
CCKDABRNCXXPNF-VXGBXAGGSA-N,c1ccc(NC2CCCCC2)cc1,0,4
CCUITVGIDVPEJI-UHFFFAOYSA-N,O=C(Cc1csc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,0,1
CCUWLJJJTXPUCI-HIFPTAJRSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,0,4
CDIBRYDRWDNHKR-OFNKIYASSA-N,O=C(NCc1cccc(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CDLPZSXOJZPUNZ-JOCHJYFZSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CEDDKVSCQBMJRG-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1ccn(-c2ccccc2)n1,0,2
CEHXVBLLORENHV-LAQFHYBYSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccc5ncsc5c4)CC32)no1,0,0
CENSBZQZRLLDCL-JOCQHMNTSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,3
CEOUAXRSPKQSPT-LBPRGKRZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1ccnc(-c2cccnc2)n1,0,1
CERUYKDYVULSDG-SJORKVTESA-N,O=C(NCc1cnn(-c2cccnc2)c1)C1CCC1S(=O)(=O)c1ccccc1,0,3
CERUYKDYVULSDG-UHFFFAOYSA-N,O=C(NCc1cnn(-c2cccnc2)c1)C1CCC1S(=O)(=O)c1ccccc1,0,3
CGKGVIMZSQQQKI-MNZLEMJZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cc5ccccc5cn4)CC32)no1,0,3
CHJNLJDLILUZCU-WMLDXEAASA-N,O=c1c2ccncc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
CHTXUMBCIKLCKW-GXTWGEPZSA-N,O=c1c2cn[nH]c2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,0
CIACKZWBHIJWSD-UHFFFAOYSA-N,c1ccc(-c2cc3cn[nH]c3cc2C2CC2)cc1,0,1
CIKWLRYNURTNGX-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cncc(-c2cccnc2)n1,0,2
CISHPMUQLTYQDL-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,0,4
CIYDGMDZVSRZAF-RRFJBIMHSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(C2CCC(c3ccccc3)C2)c(=O)o1,0,4
CJIFGBJDSODVOU-JTQLQIEISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccccc2)n1,0,2
CKQMTXLABQTGQB-DHZHZOJOSA-N,O=C(C=Cc1ccccc1)Nc1ccccc1,0,3
CLALAOKNVZYDNB-HALDLXJZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
CLCRTUFFZNMHLS-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,0,2
CLDTYDWCLGHBRJ-UHFFFAOYSA-N,c1ccc(Nc2n[nH]c3ccccc23)cc1,0,3
CLZKMFVTJPNWFB-VQFNDLOPSA-N,O=c1c2cccnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,1
CMKRUJONJACVHU-JOCHJYFZSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CMMHGQMDAWNUJF-NNUKFRKNSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(Oc3ccccc3)C2)no1,0,1
CMPQQCSDOGJLLR-JOCHJYFZSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CMQWFYBXZLEOMA-FQEVSTJZSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
CNBMUGGIAWLNKG-SHTZXODSSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(c3ccccc3)C2)no1,0,2
CNMIUCDUEVFNKU-QHCPKHFHSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,0,0
CNXACZHZGCZDBO-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
CNYDIRYGXDXINR-GCJKJVERSA-N,O=C(NCc1cccc(-c2ccccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,0,0
COEDYLGJVZYSIH-JTQLQIEISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,0,1
COUSNIYNXWRIMA-WQGACYEGSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
COWHGJLKSFLNRB-QLPKVWCKSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,0,0
COWJGGFKTKTZOT-XJKSGUPXSA-N,O=c1c2[nH]cnc2ccn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,0
CPOOXCQPULFHNM-YABSGUDNSA-N,O=c1c2[nH]nnc2ncn1Cc1nc(C2C3CN(c4ccccn4)CC32)no1,0,1
CPVYDKXZLWVTEE-GXFFZTMASA-N,O=c1c2ccnn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,4
CQGSBWGNKKNJCP-RYRKJORJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,0,3
CQQRVWPXVJWBRU-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1noc(CCc2ccccc2)n1,0,3
CRANEYHZXMLJBS-SWLSCSKDSA-N,O=c1c2[nH]cnc2cnn1Cc1nc(C2COC(c3ccccc3)C2)no1,0,0
CRMCPZOEWQJMFS-LBPRGKRZSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,0,1
CRVXZKHWEUVJFA-ZDUSSCGKSA-N,O=c1c2ccoc2ncn1Cc1nnn(CCc2ccccc2)n1,0,1
CSKJIIXTWHNKSV-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,0,0
CSUMASYLFZPZKR-VFNWGFHPSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,0,4
CSWZSXQZBCOVSJ-FQEVSTJZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1cccc(-c2cnc(N3CCCC3)nc2)n1,0,1
