assay_id,dataset_role,document_id,source_id,n_records,n_unique_compounds,assay_summary
CHEMBL4880072,primary,CHEMBL4507256,S51,1,1,Electrophysiology; AITC 100 uM
CHEMBL4885651,primary,CHEMBL4507328,S52,1,1,FLIPR Ca2+ assay
CHEMBL4885657,primary,CHEMBL4507328,S52,1,1,Human TRPA1 electrophysiology
CHEMBL5210282,primary,CHEMBL5210121,S53,1,1,HEK293F electrophysiology; AITC 100 uM
CHEMBL5210580,primary,CHEMBL5210307,S54,1,1,FLIPR Ca2+ assay; ChEMBL says AITC 30 uM
CHEMBL5577372,primary,CHEMBL5576088,S29,1,1,HEK293; AITC; Fluo-4 AM
CHEMBL5577382,excluded,CHEMBL5576088,S29,1,1,Generic human TRPA1 activity
CHEMBL5680880,primary,CHEMBL5678803,S44,1,1,GFP-human TRPA1 HEK293F; AITC; -60 mV
CHEMBL6104158,primary,CHEMBL6103546,S55,1,1,T-REx-293; AITC; patch clamp
CHEMBL6104159,primary,CHEMBL6103546,S55,1,1,CHO human TRPA1; AITC fluorescence
