inchikey,scaffold,representation,algorithm,partition,fold,y_true,y_pred,absolute_error
CAURCPOFUZVLHO-FRQCXROJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccc5[nH]ncc5c4)CC32)no1,Morgan-2048,RF,0,0,7.695,7.828907333333334,0.13390733333333404
CDIBRYDRWDNHKR-OFNKIYASSA-N,O=C(NCc1cccc(-c2ccccc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,8.3,7.2632825000000105,1.0367174999999902
CIKWLRYNURTNGX-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cncc(-c2cccnc2)n1,Morgan-2048,RF,0,0,8.1,8.36775166666668,0.2677516666666797
CJIFGBJDSODVOU-JTQLQIEISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccccc2)n1,Morgan-2048,RF,0,0,9.0,8.540649999999967,0.45935000000003257
CLCRTUFFZNMHLS-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3o2)n1,Morgan-2048,RF,0,0,7.6,7.69774,0.09773999999999994
CMMHGQMDAWNUJF-NNUKFRKNSA-N,O=c1c2cccnc2ncn1Cc1nc(C2CC(Oc3ccccc3)C2)no1,Morgan-2048,RF,0,0,6.74,7.4465100000000195,0.7065100000000193
CNXACZHZGCZDBO-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,6.31,6.886632500000004,0.5766325000000041
COUSNIYNXWRIMA-WQGACYEGSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,8.265,8.086646666666693,0.17835333333330716
CSWZSXQZBCOVSJ-FQEVSTJZSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccccn3)c(=O)c21)Nc1cccc(-c2cnc(N3CCCC3)nc2)n1,Morgan-2048,RF,0,0,8.7,7.252391333333359,1.44760866666664
CTVDAKKIBPDSKS-HNNXBMFYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cccnc2)n1,Morgan-2048,RF,0,0,9.0,8.784859999999986,0.2151400000000141
CVQHMRPOOCQEKI-OOHWJJMZSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2ccc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,9.0,8.715779999999961,0.28422000000003855
DDCBCYZFOVRVBY-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,8.84,8.319579999999977,0.5204200000000228
DEOVWIPKRDTVPC-GTPINHCMSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cnc(N3CC4CC4C3)cn2)n1,Morgan-2048,RF,0,0,8.15,8.206293333333365,0.056293333333364615
DFRRLTYRSAJCPA-UHFFFAOYSA-N,c1ccccc1,Morgan-2048,RF,0,0,5.95,5.322259999999999,0.6277400000000011
DHGRAFMYKRWRSJ-VYDXJSESSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,8.325,8.018176523809544,0.3068234761904556
DHGRAFMYKRWRSJ-ZMSDIMECSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,8.04,8.018176523809544,0.021823476190455438
DIRMTWBVAUKNIW-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncon3)c(=O)c21)Nc1csc(-c2cccnc2)n1,Morgan-2048,RF,0,0,7.7,7.7891999999999975,0.08919999999999728
DOBJBFNRWRRVBT-FHERZECASA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2cnc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,8.15,8.059363333333334,0.0906366666666667
DPIVYZZBFLLVQT-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,Morgan-2048,RF,0,0,7.16,6.572323999999992,0.5876760000000081
DTVXBNDIMDRBBV-UHFFFAOYSA-N,O=C1C2=C(NC(=S)NC2c2ccccc2)c2ccccc21,Morgan-2048,RF,0,0,7.52,7.294227000000011,0.22577299999998868
DUDGVTZIXWMUJM-OOHWJJMZSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2ccc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,8.7,8.372028761904737,0.3279712380952624
DUKDOQAYUAMVIA-SZUSHISOSA-N,O=C(NCc1cc(C2CCCCC2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.505,6.597475000000057,0.9075249999999428
DWAWIOKCMZJXGY-ZWKOTPCHSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccc4ccccc4c3)C2)no1,Morgan-2048,RF,0,0,8.504999999999999,7.426039999999993,1.0789600000000057
DXPVSKMQMRRVIF-HSBZDZAISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,6.43,8.01414999999998,1.5841499999999797
DXWIIDPZTZPYBU-SMDDNHRTSA-N,O=C(NCc1nc(C2COC(c3ccccc3)C2)no1)c1cnn[nH]1,Morgan-2048,RF,0,0,7.135,7.3738200000000065,0.2388200000000067
DZWTVPLPFLUECS-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCc1cc(N2CCCCC2)ncn1,Morgan-2048,RF,0,0,5.52,6.585403999999998,1.0654039999999982
FATUHOJCYPAYKH-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,8.28,8.217920000000008,0.06207999999999103
FBSZSRPGDWDHLD-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cccnc2)n1,Morgan-2048,RF,0,0,8.22,7.8018399999999914,0.4181600000000092
FJBYXALKFQSAGN-APWZRJJASA-N,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,6.87,7.372830000000032,0.5028300000000323
FKCJHLWKMWRKBM-LBPRGKRZSA-N,O=c1c2ccoc2ncn1Cc1nnn(CCc2cc3ccccc3s2)n1,Morgan-2048,RF,0,0,8.0,7.652651999999971,0.34734800000002863
FLIQYUIVRAOUGB-FUHWJXTLSA-N,O=c1c2cnc(N3CCC3)n2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,6.75,7.1299549999999785,0.3799549999999785
FMQCHWYYJNLQTD-BEFAXECRSA-N,O=C(NCc1cc(-c2ccc3c(c2)OCO3)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.06,7.021830833333325,0.038169166666675025
FOXGCOKYWRDUFO-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nc(CCc2ccc3c(c2)OCO3)no1,Morgan-2048,RF,0,0,7.11,7.285529999999985,0.1755299999999851
FPDWPLLJKZDDGE-HSBZDZAISA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1csc(-c2cnc(N3CC4CC4C3)nc2)n1,Morgan-2048,RF,0,0,7.36,8.401329999999971,1.041329999999971
FQZNADCLVNIQIS-AWEZNQCLSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2cccnc2)n1,Morgan-2048,RF,0,0,8.52,8.512060000000004,0.007939999999996061
FTOLOGKZFWYVKF-GJYPPUQNSA-N,O=c1c2cccnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,8.129999999999999,8.18587933333334,0.0558793333333405
FTWYYMVJQQIIJU-HNNXBMFYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ccon3)c(=O)c21)Nc1cccc(-c2ccccc2)n1,Morgan-2048,RF,0,0,8.3,8.46524999999998,0.16524999999997902
FWEQDPBXQWFBRT-UHFFFAOYSA-N,O=c1c2cccnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,6.78,7.882920000000022,1.1029200000000214
FZZFOAXTJWRIME-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,7.56,8.166929999999976,0.6069299999999762
GASNKOLBLYALAK-OSPHWJPCSA-N,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,6.79,7.3968633333333385,0.6068633333333384
GGEXZZTTYULMGE-NWDGAFQWSA-N,c1cc(CC2CCCCC2)ccn1,Morgan-2048,RF,0,0,6.14,6.249539999999993,0.10953999999999375
GGXOOEKRZGSFIG-RXVVDRJESA-N,O=C(NCc1cccc(-c2cnccn2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,8.4,7.71100666666665,0.6889933333333502
GHLWCNVHSZFICN-UTKZUKDTSA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,6.89,7.345203333333348,0.4552033333333485
GINMVHRTUVVUGZ-VXGBXAGGSA-N,c1ccc(NC2CCCCC2)cc1,Morgan-2048,RF,0,0,7.39,7.225140000000001,0.16485999999999912
GLTMCNDGYKDTAQ-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,8.04,8.209579999999995,0.1695799999999963
GNHMXTAFCQXTQG-UHFFFAOYSA-N,c1ccc(-c2ccc3[nH]ncc3c2)cc1,Morgan-2048,RF,0,0,6.29,5.612885666666667,0.6771143333333329
GRYCSQXMCQAXTH-KRWDZBQOSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cnc(N3CCCC3)nc2)n1,Morgan-2048,RF,0,0,8.52,7.6521680000000085,0.867831999999991
GSUUYDCJJHXRLU-ATCWAGBWSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,7.19,7.34579666666669,0.15579666666668945
GTLRVPQNDNSVIG-VQFNDLOPSA-N,O=c1c2cccnc2ncn1Cc1nc(C2C3CN(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,7.76,7.248094999999997,0.5119050000000032
GVDCWIWNLLLASC-IERDGZPVSA-N,O=C(NCc1cc(N2CCC3(CC2)CC3)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.85,6.859529999999999,0.9904700000000011
GVDZPSKDMZOKOZ-UHFFFAOYSA-N,O=c1c2[nH]ncc2ncn1Cc1nc(CCc2ccccc2)no1,Morgan-2048,RF,0,0,7.28,7.061479999999992,0.21852000000000782
GXEZRQFMWXWZKX-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1csc(-c2cccnc2)n1,Morgan-2048,RF,0,0,9.0,8.751880000000003,0.24811999999999657
GXQZEMNKUGZVBX-SMDDNHRTSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,7.375,7.742089999999999,0.36708999999999925
GXYVIPVHFLYGMR-RXVVDRJESA-N,O=C(NCc1cc(-c2ccccc2)ncn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.85,7.628189666666663,0.22181033333333655
GYHYZGTVOXUSCN-UHFFFAOYSA-N,O=c1c2cncn2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,6.58,7.032987999999998,0.4529879999999977
HABYZPQFFRMXCH-UHFFFAOYSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,7.02,6.772727500000011,0.24727249999998868
HBBABCXLFVDQFV-KOMQPUFPSA-N,O=c1c2cccnc2ncn1Cc1nn(C2CC(c3ccccc3)C2)c(=O)o1,Morgan-2048,RF,0,0,8.24,7.97015333333334,0.2698466666666599
HBHIXBYCEAGRAO-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,7.76,7.617010000000002,0.1429899999999975
HEJBGQMISSCROI-KWUMSVIQSA-N,O=c1c2cccnc2cnn1Cc1nc(C2CC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,7.115,7.372049999999966,0.2570499999999658
HENUOPIBZLPYCJ-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nnn(CCc2cc3ccccc3s2)n1,Morgan-2048,RF,0,0,8.15,7.717332000000002,0.4326679999999987
HEQDZPHDVAOBLN-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1ccccc1,Morgan-2048,RF,0,0,5.21,5.846173333333351,0.6361733333333515
HFOXGYXSDJIWDB-XLIONFOSSA-N,O=C(NCc1ccnc(-c2cccnc2)c1)C1CCC1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,6.85,6.848049999999989,0.0019500000000105544
HFTZDURZNKGJNR-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,8.48,8.006729999999969,0.4732700000000314
HFXXGXZWVDFVPZ-UHFFFAOYSA-N,O=C(Cc1coc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,7.87,8.365896666666671,0.4958966666666713
HHCLINDTOXIQSR-GXTWGEPZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,7.38,7.384439999999986,0.004439999999986455
HJORVEMWTJKDDG-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1cccs1,Morgan-2048,RF,0,0,6.54,5.930119999999981,0.6098800000000191
HLNQWCKWTOEBQE-APWZRJJASA-N,O=C(NCc1ccnc(-c2cncnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,8.1,7.234560000000012,0.865439999999988
HNSCERNLYMZCPA-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)n(Cc3ncno3)c(=O)c21)Nc1csc(-c2cccnc2)n1,Morgan-2048,RF,0,0,8.22,8.002100000000022,0.2178999999999789
HQOTZKAHXGIKLR-KEYYUXOJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,8.25,7.811220000000025,0.43877999999997463
HRPNHQBVYVNOBG-GTPINHCMSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cnc(N3CC4CC4C3)cn2)n1,Morgan-2048,RF,0,0,8.7,8.385469999999993,0.31453000000000664
HTFLIVOZSFVGEJ-UHFFFAOYSA-N,O=C(Nc1ccccc1)c1ccccc1,Morgan-2048,RF,0,0,7.04,6.560010000000023,0.4799899999999768
HUHIIHFGNPALFZ-UOIKSKOESA-N,O=c1c2cccnc2cnn1Cc1nc(C2C3CN(c4ccccn4)CC32)no1,Morgan-2048,RF,0,0,7.119999999999999,7.329200000000009,0.20920000000000982
HWKOCGQYCSKFFR-DZGCQCFKSA-N,O=c1c2ccnn2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,9.01,7.808399999999971,1.2016000000000284
HXWIASAQIZZSJV-RXVVDRJESA-N,O=C(NCc1cc(-c2cccnc2)ccn1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.89,7.47177399999997,0.41822600000002996
HYLZITOBNTZXNO-DZGCQCFKSA-N,O=c1c2ccnn2ncn1Cc1nc(C2COC(c3ccc4ncsc4c3)C2)no1,Morgan-2048,RF,0,0,7.245,7.764949999999978,0.5199499999999775
IDPIVZXQDBCGRG-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1ccccc1)NCC1CN(c2ccccc2)CCO1,Morgan-2048,RF,0,0,5.82,6.658003333333369,0.8380033333333685
IEXGDENLKSBYPG-DIBXZPPDSA-N,O=C(Cc1csc2[nH]c(=O)[nH]c(=O)c12)N=c1[nH]c(-c2ccccc2)cs1,Morgan-2048,RF,0,0,6.25,7.288694999999976,1.0386949999999757
IHTBJQAPPKVYEC-UHFFFAOYSA-N,O=C(Cn1cnc2cnccc2c1=O)NCCc1ccccc1,Morgan-2048,RF,0,0,5.77,6.4254999999999844,0.6554999999999849
ILDMVQZTNFZDID-GFCCVEGCSA-N,O=c1c2[nH]cnc2ncn1Cc1nn(CCc2ccccc2)c(=O)o1,Morgan-2048,RF,0,0,5.92,7.62553221428572,1.7055322142857197
INCHZNJQYBISFT-UHFFFAOYSA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cncc(-c2cccnc2)n1,Morgan-2048,RF,0,0,8.1,8.334600000000032,0.23460000000003234
IQZWGMBQRDGLEH-DZFIZOCASA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3CN(c4cccc(C5CC5)c4)CC32)no1,Morgan-2048,RF,0,0,6.95,7.198583333333345,0.24858333333334492
IRVXOONVSOVGPT-RYRKJORJSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2C3C=C(c4ccccc4)CC32)no1,Morgan-2048,RF,0,0,7.46,7.431065000000002,0.028934999999997935
IRXCYACJROUWCS-GXTWGEPZSA-N,O=c1c2[nH]cnc2ncn1Cc1nc(C2COC(c3ccccc3)C2)no1,Morgan-2048,RF,0,0,6.890000000000001,7.400599999999983,0.5105999999999824
IVVHPAHILXWBMH-SUMWQHHRSA-N,O=c1c2c(cnn1Cc1nc(C3COC(c4ccccc4)C3)no1)CNCC2,Morgan-2048,RF,0,0,6.295,7.282630000000005,0.9876300000000047
IYMRWKNCZYWXPC-URXFXBBRSA-N,O=C(NCc1cn(-c2ccccc2)c(=O)[nH]c1=O)C1CCCN1S(=O)(=O)c1cc2ccccc2o1,Morgan-2048,RF,0,0,7.19,7.018210000000013,0.17178999999998723
IYPSSQMPIVZFBK-FQEVSTJZSA-N,O=C(NCc1cc(-c2cccnc2)ncn1)C1CCCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,5.64,6.7097466666666525,1.0697466666666529
JBIXZNRRVYTXMJ-NSHDSACASA-N,O=C(Cn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1cccc(-c2cncnc2)n1,Morgan-2048,RF,0,0,7.32,7.233780000000019,0.08621999999998131
JCGBVACYAGHPAM-STQMWFEESA-N,c1ccc(C2CCCCC2)cc1,Morgan-2048,RF,0,0,5.49,5.891867999999992,0.40186799999999145
JCPXMGFJZJLKIN-LBPRGKRZSA-N,O=c1c2ccsc2ncn1Cc1nc(CCc2ccccc2)no1,Morgan-2048,RF,0,0,7.48,7.553730000000021,0.07373000000002072
JJWIAVUKFHESIC-UHFFFAOYSA-N,O=C(CNS(=O)(=O)c1cc[nH]n1)NCc1cccc(-c2ccccc2)c1,Morgan-2048,RF,0,0,5.62,6.591316666666667,0.9713166666666666
JNFFYUYSPBYAOR-KNQAVFIVSA-N,O=C(NCc1cccc(-c2cccnc2)c1)C1CCCN1S(=O)(=O)c1ccccc1,Morgan-2048,RF,0,0,7.33,7.390233333333369,0.06023333333336911
JSZBSUKOUVVBGY-UHFFFAOYSA-N,O=C(Cc1cccc2[nH]c(=O)[nH]c(=O)c12)Nc1nc(-c2ccccc2)cs1,Morgan-2048,RF,0,0,7.18,7.393050000000012,0.2130500000000124
JTULPMHYGMMBHH-QMMMGPOBSA-N,O=c1c2ccoc2ncn1Cc1nnn(CCc2cccs2)n1,Morgan-2048,RF,0,0,8.0,7.710479999999956,0.28952000000004396
